Time,EAR,MAR,Blinks,Yawns,Drowsy
1771687373.07,0.321,0.033,40,0,0
1771687373.13,0.326,0.0,40,0,0
1771687373.2,0.306,0.066,40,0,0
1771687373.26,0.32,0.126,40,0,0
1771687373.34,0.352,0.071,40,0,0
1771687373.4,0.326,0.092,40,0,0
1771687373.46,0.331,0.119,40,0,0
1771687373.53,0.294,0.178,40,0,0
1771687373.6,0.315,0.031,40,0,0
1771687373.66,0.316,0.0,40,0,0
1771687373.73,0.303,0.0,40,0,0
1771687373.8,0.292,0.03,40,0,0
1771687373.86,0.31,0.092,40,0,0
1771687373.93,0.298,0.059,40,0,0
1771687373.99,0.321,0.03,40,0,0
1771687374.06,0.317,0.088,40,0,0
1771687374.13,0.312,0.093,40,0,0
1771687374.2,0.318,0.2,40,0,0
1771687374.27,0.31,0.184,40,0,0
1771687374.32,0.309,0.15,40,0,0
1771687374.39,0.308,0.147,40,0,0
1771687374.47,0.327,0.202,40,0,0
1771687374.53,0.318,0.178,40,0,0
1771687374.6,0.347,0.239,40,0,0
1771687374.66,0.332,0.192,40,0,0
1771687374.73,0.32,0.221,40,0,0
1771687374.8,0.315,0.184,40,0,0
1771687374.87,0.336,0.22,40,0,0
1771687374.93,0.303,0.228,40,0,0
1771687375.0,0.323,0.222,40,0,0
1771687375.06,0.28,0.191,40,0,0
1771687375.13,0.283,0.224,40,0,0
1771687375.19,0.324,0.216,40,0,0
1771687375.27,0.324,0.19,40,0,0
1771687375.34,0.318,0.25,40,0,0
1771687375.4,0.318,0.264,40,0,0
1771687375.46,0.314,0.259,40,0,0
1771687375.53,0.346,0.197,40,0,0
1771687375.59,0.32,0.067,40,0,0
1771687375.67,0.32,0.134,40,0,0
1771687375.74,0.352,0.106,40,0,0
1771687375.8,0.314,0.134,40,0,0
1771687375.86,0.333,0.204,40,0,0
1771687375.93,0.34,0.166,40,0,0
1771687375.99,0.312,0.186,40,0,0
1771687376.08,0.323,0.195,40,0,0
1771687376.14,0.333,0.199,40,0,0
1771687376.2,0.318,0.222,40,0,0
1771687376.26,0.3,0.222,40,0,0
1771687376.33,0.315,0.19,40,0,0
1771687376.41,0.323,0.191,40,0,0
1771687376.47,0.319,0.246,40,0,0
1771687376.54,0.353,0.244,40,0,0
1771687376.6,0.315,0.23,40,0,0
1771687376.67,0.314,0.191,40,0,0
1771687376.72,0.328,0.222,40,0,0
1771687376.81,0.305,0.129,40,0,0
1771687376.88,0.331,0.16,40,0,0
1771687376.93,0.321,0.222,40,0,0
1771687377.01,0.326,0.191,40,0,0
1771687377.07,0.291,0.191,40,0,0
1771687377.13,0.3,0.16,40,0,0
1771687377.22,0.275,0.191,40,0,0
1771687377.28,0.309,0.222,40,0,0
1771687377.34,0.318,0.205,40,0,0
1771687377.41,0.309,0.205,40,0,0
1771687377.47,0.311,0.16,40,0,0
1771687377.53,0.303,0.18,40,0,0
1771687377.61,0.291,0.222,40,0,0
1771687377.67,0.302,0.222,40,0,0
1771687377.75,0.285,0.153,40,0,0
1771687377.82,0.328,0.21,40,0,0
1771687377.89,0.323,0.189,40,0,0
1771687377.97,0.33,0.186,40,0,0
1771687378.03,0.331,0.19,40,0,0
1771687378.1,0.312,0.216,40,0,0
1771687378.17,0.306,0.216,40,0,0
1771687378.22,0.324,0.179,40,0,0
1771687378.28,0.328,0.208,40,0,0
1771687378.34,0.357,0.21,40,0,0
1771687378.41,0.339,0.153,40,0,0
1771687378.48,0.334,0.13,40,0,0
1771687378.55,0.33,0.152,40,0,0
1771687378.61,0.332,0.147,40,0,0
1771687378.67,0.334,0.091,40,0,0
1771687378.75,0.345,0.178,40,0,0
1771687378.81,0.335,0.216,40,0,0
1771687378.87,0.325,0.186,40,0,0
1771687378.95,0.324,0.16,40,0,0
1771687379.01,0.347,0.13,40,0,0
1771687379.07,0.363,0.222,40,0,0
1771687379.15,0.338,0.222,40,0,0
1771687379.21,0.314,0.186,40,0,0
1771687379.27,0.329,0.21,40,0,0
1771687379.34,0.338,0.191,40,0,0
1771687379.41,0.311,0.199,40,0,0
1771687379.47,0.304,0.187,40,0,0
1771687379.55,0.309,0.173,40,0,0
1771687379.61,0.307,0.232,40,0,0
1771687379.67,0.3,0.123,40,0,0
1771687379.74,0.311,0.205,40,0,0
1771687379.81,0.312,0.143,40,0,0
1771687379.87,0.308,0.147,40,0,0
1771687379.95,0.289,0.148,40,0,0
1771687380.02,0.308,0.204,40,0,0
1771687380.07,0.3,0.123,40,0,0
1771687380.14,0.305,0.119,40,0,0
1771687380.21,0.305,0.119,40,0,0
1771687380.29,0.314,0.029,40,0,0
1771687380.35,0.318,0.119,40,0,0
1771687380.41,0.302,0.147,40,0,0
1771687380.48,0.294,0.086,40,0,0
1771687380.54,0.298,0.122,40,0,0
1771687380.6,0.304,0.115,40,0,0
1771687380.68,0.319,0.148,40,0,0
1771687380.75,0.308,0.148,40,0,0
1771687380.81,0.313,0.152,40,0,0
1771687380.87,0.321,0.148,40,0,0
1771687380.94,0.314,0.145,40,0,0
1771687381.0,0.316,0.089,40,0,0
1771687381.08,0.308,0.148,40,0,0
1771687381.14,0.308,0.181,40,0,0
1771687381.21,0.288,0.148,40,0,0
1771687381.28,0.315,0.188,40,0,0
1771687381.34,0.296,0.157,40,0,0
1771687381.41,0.281,0.181,40,0,0
1771687381.48,0.298,0.205,40,0,0
1771687381.56,0.288,0.179,40,0,0
1771687381.62,0.29,0.149,40,0,0
1771687381.68,0.321,0.198,40,0,0
1771687381.74,0.283,0.169,40,0,0
1771687381.82,0.299,0.148,40,0,0
1771687381.88,0.292,0.116,40,0,0
1771687381.95,0.319,0.144,40,0,0
